user_id,date,departure_time,origin,destination,transport_mode,actual_travel_time_mins,used_parking,parking_preference,trip_satisfaction,avg_rating
USR0001,2020-11-08,11:45,Andheri,BKC,Train+Auto,33,No,No Preference,4,3.2
USR0001,2020-02-03,09:45,Andheri,BKC,Train+Auto,39,No,No Preference,1,3.2
USR0001,2020-01-11,11:00,Andheri,BKC,Train+Auto,46,No,No Preference,2,3.2
USR0001,2020-05-02,09:45,Andheri,BKC,Train+Auto,47,No,No Preference,4,3.2
USR0001,2020-02-13,09:00,Andheri,BKC,Train+Auto,28,No,No Preference,2,3.2
USR0001,2020-08-24,10:45,Andheri,BKC,Train+Auto,32,No,No Preference,5,3.2
USR0001,2020-02-18,10:15,Andheri,BKC,Train+Auto,32,No,No Preference,1,3.2
USR0001,2020-08-06,10:00,Andheri,BKC,Train+Auto,41,No,No Preference,1,3.2
USR0001,2020-09-11,11:30,Andheri,BKC,Train+Auto,25,No,No Preference,3,3.2
USR0001,2020-01-18,10:30,Andheri,BKC,Train+Auto,59,No,No Preference,3,3.2
USR0001,2020-04-21,10:00,Andheri,BKC,Train+Auto,55,No,No Preference,3,3.2
USR0001,2020-02-29,09:45,Andheri,BKC,Train+Auto,40,No,No Preference,2,3.2
USR0001,2020-07-15,09:00,Andheri,BKC,Train+Auto,28,No,No Preference,3,3.2
USR0001,2020-06-05,11:45,Andheri,BKC,Train+Auto,33,No,No Preference,4,3.2
USR0001,2020-04-17,09:45,Andheri,BKC,Train+Auto,34,No,No Preference,2,3.2
USR0001,2020-05-19,09:00,Andheri,BKC,Train+Auto,40,No,No Preference,2,3.2
USR0001,2020-12-22,09:15,Andheri,BKC,Train+Auto,38,No,No Preference,2,3.2
USR0001,2020-05-25,09:00,Andheri,BKC,Train+Auto,53,No,No Preference,5,3.2
USR0001,2020-11-13,10:30,Andheri,BKC,Train+Auto,36,No,No Preference,4,3.2
USR0001,2020-01-15,10:15,Andheri,BKC,Train+Auto,53,No,No Preference,2,3.2
USR0001,2020-07-26,11:15,Andheri,BKC,Train+Auto,32,No,No Preference,5,3.2
USR0001,2020-11-27,09:30,Andheri,BKC,Train+Auto,57,No,No Preference,5,3.2
USR0001,2020-10-30,09:30,Andheri,BKC,Train+Auto,56,No,No Preference,4,3.2
USR0001,2020-09-19,10:00,Andheri,BKC,Train+Auto,40,No,No Preference,5,3.2
USR0001,2020-05-20,11:15,Andheri,BKC,Train+Auto,29,No,No Preference,5,3.2
USR0001,2020-08-01,11:00,Andheri,BKC,Train+Auto,33,No,No Preference,4,3.2
USR0001,2020-05-14,10:45,Andheri,BKC,Train+Auto,33,No,No Preference,3,3.2
USR0001,2020-02-23,09:30,Andheri,BKC,Train+Auto,38,No,No Preference,2,3.2
USR0001,2020-02-24,09:45,Andheri,BKC,Train+Auto,52,No,No Preference,2,3.2
USR0001,2020-03-18,11:30,Andheri,BKC,Train+Auto,33,No,No Preference,2,3.2
USR0001,2020-06-02,11:45,Andheri,BKC,Train+Auto,55,No,No Preference,1,3.2
USR0001,2020-01-14,09:15,Andheri,BKC,Train+Auto,38,No,No Preference,1,3.2
USR0001,2020-10-17,10:30,Andheri,BKC,Train+Auto,50,No,No Preference,2,3.2
USR0001,2020-12-17,10:15,Andheri,BKC,Train+Auto,56,No,No Preference,1,3.2
USR0001,2020-03-30,10:45,Andheri,BKC,Train+Auto,44,No,No Preference,5,3.2
USR0001,2020-09-24,09:15,Andheri,BKC,Train+Auto,45,No,No Preference,1,3.2
USR0001,2020-12-21,10:00,Andheri,BKC,Train+Auto,25,No,No Preference,3,3.2
USR0001,2020-07-16,11:30,Andheri,BKC,Train+Auto,55,No,No Preference,5,3.2
USR0001,2020-11-21,10:00,Andheri,BKC,Train+Auto,26,No,No Preference,2,3.2
USR0001,2020-07-21,10:30,Andheri,BKC,Train+Auto,41,No,No Preference,5,3.2
USR0001,2020-03-24,09:30,Andheri,BKC,Train+Auto,55,No,No Preference,3,3.2
USR0001,2020-05-21,11:00,Andheri,BKC,Train+Auto,30,No,No Preference,5,3.2
USR0001,2020-08-06,09:00,Andheri,BKC,Train+Auto,32,No,No Preference,2,3.2
USR0001,2020-02-28,09:15,Andheri,BKC,Train+Auto,33,No,No Preference,1,3.2
USR0001,2020-09-15,11:00,Andheri,BKC,Train+Auto,49,No,No Preference,4,3.2
USR0001,2020-01-17,09:45,Andheri,BKC,Train+Auto,44,No,No Preference,5,3.2
USR0001,2020-11-01,09:15,Andheri,BKC,Train+Auto,33,No,No Preference,3,3.2
USR0001,2020-02-17,10:00,Andheri,BKC,Train+Auto,36,No,No Preference,2,3.2
USR0001,2020-12-25,09:00,Andheri,BKC,Train+Auto,36,No,No Preference,4,3.2
USR0001,2020-07-28,11:00,Andheri,BKC,Train+Auto,47,No,No Preference,2,3.2
USR0001,2020-05-04,10:15,Andheri,BKC,Train+Auto,50,No,No Preference,1,3.2
USR0001,2020-08-30,09:30,Andheri,BKC,Train+Auto,45,No,No Preference,5,3.2
USR0001,2020-01-24,11:45,Andheri,BKC,Train+Auto,59,No,No Preference,4,3.2
USR0001,2020-08-29,09:30,Andheri,BKC,Train+Auto,47,No,No Preference,4,3.2
USR0001,2020-07-17,11:15,Andheri,BKC,Train+Auto,50,No,No Preference,5,3.2
USR0001,2020-07-25,11:00,Andheri,BKC,Train+Auto,34,No,No Preference,3,3.2
USR0002,2020-12-09,09:15,Dadar,Nariman Point,Car,89,Yes,Office Parking,1,4.0
USR0002,2020-03-16,08:45,Dadar,Nariman Point,Car,72,Yes,Office Parking,5,4.0
USR0002,2020-01-26,08:15,Dadar,Nariman Point,Car,76,Yes,Office Parking,4,4.0
USR0002,2020-09-02,07:00,Dadar,Nariman Point,Car,94,Yes,Office Parking,2,4.0
USR0002,2020-10-06,09:15,Dadar,Nariman Point,Car,88,Yes,Office Parking,5,4.0
USR0002,2020-02-01,09:15,Dadar,Nariman Point,Car,97,Yes,Office Parking,4,4.0
USR0002,2020-01-30,07:15,Dadar,Nariman Point,Car,67,Yes,Office Parking,5,4.0
USR0002,2020-02-27,09:30,Dadar,Nariman Point,Car,79,Yes,Office Parking,1,4.0
USR0002,2020-12-13,07:45,Dadar,Nariman Point,Car,68,Yes,Office Parking,5,4.0
USR0002,2020-11-06,09:00,Dadar,Nariman Point,Car,96,Yes,Office Parking,3,4.0
USR0002,2020-08-25,07:30,Dadar,Nariman Point,Car,80,Yes,Office Parking,5,4.0
USR0002,2020-02-04,07:15,Dadar,Nariman Point,Car,73,Yes,Office Parking,1,4.0
USR0002,2020-02-14,08:45,Dadar,Nariman Point,Car,69,Yes,Office Parking,3,4.0
USR0002,2020-04-22,07:30,Dadar,Nariman Point,Car,68,Yes,Office Parking,4,4.0
USR0002,2020-01-28,08:30,Dadar,Nariman Point,Car,75,Yes,Office Parking,1,4.0
USR0002,2020-12-08,07:45,Dadar,Nariman Point,Car,91,Yes,Office Parking,2,4.0
USR0002,2020-02-25,07:30,Dadar,Nariman Point,Car,79,Yes,Office Parking,1,4.0
USR0002,2020-11-22,09:15,Dadar,Nariman Point,Car,69,Yes,Office Parking,4,4.0
USR0002,2020-09-19,08:30,Dadar,Nariman Point,Car,93,Yes,Office Parking,1,4.0
USR0002,2020-04-03,08:30,Dadar,Nariman Point,Car,77,Yes,Office Parking,4,4.0
USR0002,2020-12-27,08:00,Dadar,Nariman Point,Car,75,Yes,Office Parking,1,4.0
USR0002,2020-04-28,09:30,Dadar,Nariman Point,Car,98,Yes,Office Parking,5,4.0
USR0002,2020-09-02,09:45,Dadar,Nariman Point,Car,91,Yes,Office Parking,4,4.0
USR0002,2020-12-09,08:00,Dadar,Nariman Point,Car,75,Yes,Office Parking,5,4.0
USR0002,2020-02-13,08:45,Dadar,Nariman Point,Car,66,Yes,Office Parking,3,4.0
USR0002,2020-06-14,09:30,Dadar,Nariman Point,Car,96,Yes,Office Parking,3,4.0
USR0003,2020-04-05,09:00,Thane,Kurla,Car,38,Yes,Metro Parking,3,4.6
USR0003,2020-11-09,09:15,Thane,Kurla,Car,64,Yes,Metro Parking,4,4.6
USR0003,2020-09-14,09:15,Thane,Kurla,Car,71,Yes,Metro Parking,4,4.6
USR0003,2020-05-28,09:30,Thane,Kurla,Car,62,Yes,Metro Parking,1,4.6
USR0003,2020-06-28,09:00,Thane,Kurla,Car,59,Yes,Metro Parking,1,4.6
USR0003,2020-12-28,08:30,Thane,Kurla,Car,64,Yes,Metro Parking,2,4.6
USR0003,2020-11-16,07:45,Thane,Kurla,Car,47,Yes,Metro Parking,1,4.6
USR0003,2020-08-07,09:15,Thane,Kurla,Car,62,Yes,Metro Parking,5,4.6
USR0003,2020-08-01,08:45,Thane,Kurla,Car,42,Yes,Metro Parking,2,4.6
USR0003,2020-03-26,07:30,Thane,Kurla,Car,64,Yes,Metro Parking,1,4.6
USR0003,2020-08-28,09:15,Thane,Kurla,Car,68,Yes,Metro Parking,2,4.6
USR0003,2020-07-12,08:30,Thane,Kurla,Car,67,Yes,Metro Parking,1,4.6
USR0003,2020-03-08,09:30,Thane,Kurla,Car,54,Yes,Metro Parking,3,4.6
USR0003,2020-12-06,07:45,Thane,Kurla,Car,57,Yes,Metro Parking,3,4.6
USR0003,2020-02-12,08:45,Thane,Kurla,Car,66,Yes,Metro Parking,4,4.6
USR0003,2020-12-29,07:15,Thane,Kurla,Car,55,Yes,Metro Parking,5,4.6
USR0003,2020-07-26,08:00,Thane,Kurla,Car,51,Yes,Metro Parking,5,4.6
USR0003,2020-04-23,09:15,Thane,Kurla,Car,65,Yes,Metro Parking,2,4.6
USR0003,2020-11-13,08:00,Thane,Kurla,Car,45,Yes,Metro Parking,5,4.6
USR0003,2020-07-03,09:30,Thane,Kurla,Car,71,Yes,Metro Parking,1,4.6
USR0003,2020-01-12,07:45,Thane,Kurla,Car,52,Yes,Metro Parking,5,4.6
USR0003,2020-01-27,07:15,Thane,Kurla,Car,56,Yes,Metro Parking,5,4.6
USR0003,2020-08-20,08:30,Thane,Kurla,Car,48,Yes,Metro Parking,3,4.6
USR0003,2020-05-01,09:45,Thane,Kurla,Car,47,Yes,Metro Parking,3,4.6
USR0003,2020-01-25,08:00,Thane,Kurla,Car,48,Yes,Metro Parking,5,4.6
USR0003,2020-12-31,09:30,Thane,Kurla,Car,62,Yes,Metro Parking,5,4.6
USR0003,2020-01-19,09:45,Thane,Kurla,Car,38,Yes,Metro Parking,1,4.6
USR0003,2020-03-01,08:30,Thane,Kurla,Car,42,Yes,Metro Parking,1,4.6
USR0003,2020-07-01,08:45,Thane,Kurla,Car,64,Yes,Metro Parking,2,4.6
USR0003,2020-10-28,07:45,Thane,Kurla,Car,43,Yes,Metro Parking,2,4.6
USR0003,2020-05-17,09:45,Thane,Kurla,Car,57,Yes,Metro Parking,3,4.6
USR0003,2020-09-12,09:45,Thane,Kurla,Car,37,Yes,Metro Parking,1,4.6
USR0003,2020-05-28,08:15,Thane,Kurla,Car,67,Yes,Metro Parking,5,4.6
USR0003,2020-04-15,07:30,Thane,Kurla,Car,52,Yes,Metro Parking,1,4.6
USR0003,2020-11-23,09:30,Thane,Kurla,Car,60,Yes,Metro Parking,5,4.6
USR0003,2020-09-13,07:00,Thane,Kurla,Car,56,Yes,Metro Parking,4,4.6
USR0003,2020-10-03,08:45,Thane,Kurla,Car,46,Yes,Metro Parking,5,4.6
USR0004,2020-04-12,08:45,Dadar,Nariman Point,Car,89,Yes,Street Parking,2,4.9
USR0004,2020-07-23,08:30,Dadar,Nariman Point,Car,60,Yes,Street Parking,3,4.9
USR0004,2020-04-18,08:45,Dadar,Nariman Point,Car,95,Yes,Street Parking,1,4.9
USR0004,2020-12-19,07:00,Dadar,Nariman Point,Car,87,Yes,Street Parking,1,4.9
